Full Date|Notes about today
2024-10-08|Back in Taiwan! Meeting bootsy at taipei main, manga bf reunion, then dropping stuff in neihu, bafang, heavy nap, meeting boots after work then Thai food, bubble tea wheel cake and nice talks and bus back home then drinks with lily 
2024-10-09|Big night of sleep recovering from jetlag, nice hike around neihu, then sleepy afternoon at the apartment, tough biking to bootsy office, tepanyaki in a mall and return home to pack for Hong Kong
2024-10-10|Good breakfast at home, then long afternoon in the airport because of big plane delay, finally landing in Hong Kong, bit of stress to get everything sorted out and metro to hotel and late night noodles after check-in 
2024-10-11|First day in Hong Kong, strolling in old town, taking peak tram, then cocktail and noodles before avenue of stars 
2024-10-12|Another beautiful day in HK, doing the lion rock climb, then big late lunch, visit of another neighborhood and back in hotel at 8pm
2024-10-13|Third day in Hong Kong, visiting nice island, then sunset on star avenue, and another failed attempt at biang biang 
2024-10-14|Birthday in Hong Kong, but not a great day, finally ate some biang biang but wasn't that great, then airport stress, flight delay and rush back in taipei airport 
2024-10-15|Breakfast around the corner, lunch with bootsy in xinyi, back to apt, bike + run on riverside, then solo evening with noodles and waffle in yongkang, checking out dog clothes in night market then long walk bus mrt to find bootsy back to neihu 
2024-10-16|Manga breakfast to star the day, then Peter, zajiang, return home and watched disturbing horror, back to gongguan for Japanese food, wheelcake and drum game before long bus back home and chill late evening with bootsy 
2024-10-17|Veery difficult run in the morning, then big lunch at bafang, watching ok horror, bike bike ride to zhongshan for chuan mu yuan dinner and bus back to neihu 
2024-10-18|Big morning biking on riverside, Buddha for lunch, then terrifier 2 in the afternoon, burger date and nice long convo with bootsy on the way home 
2024-10-19|Breakfast at home, bugs in honey incident, chun shui tang dinner, libraries round for posters, dinner cooked by xiao ayi, then chill pre party with bootsy at home and drinks at magi square 
2024-10-20|Bit of a hangover when waking up, bad order at the new breakfast place, katsu with boots then long afternoon at jiujiu's place, drive to yilan, lemonade then long round table dinner, drive back, weird situation alone in ayi's car, some shots with yizhang then back to neihu
2024-10-21|Manga to start the day, climbing mount guanyin (with loads of times in mrt and busses to get there and leave), chill at home and prepare bike rides, pho and tang yuan with boots then long walk to mrt and reading at home
2024-10-22|Getting bike in shilin, then round in yangminshan, big rain, back home then ramen with bootsy and plum wine at home with lily and Jack!
2024-10-23|Second day with the bike, loads and loads of rain and trip to wulai and back, then some chill at home, din tai fung with boots and drink at Shrine 
2024-10-24|Bringing bike back to neihu, buying Bayo gift, cultural parks stroll, Peter better reading, feats for Jack's birthday then bootsy haircut at home 
2024-10-26|Great day in Taizhong organized by Bootsy, early rise for hsr, hike, good lunch, then stroll in city centre, bike to night market and return to taipei for chill night at the apartment 
2024-10-27|Last day in Taiwan, long sleep then Manga breakfast, walking around in da'an, coffee in yongkang, shopping in gongguan then return home for sad goodbye, then wait in airport and anderlecht defeat 
2024-10-28|Looong flight back to Paris, waiting for tgv, then cleaning up house, groceries and decorating before small birthday dinner at papa with juju
2024-10-29|Good night of sleep, ride to work, not a lot of things to do so waiting for day to end, ride back in the rain, cooking, koh lanta and ps5 setup, night run and mc mahon doc 
2024-10-30|Good day at the office, getting new countings analysis, lots of cookies from departing colleague, fredberg fired, koh lanta, cooking quiche, workout, return to KCD and freeletics workout, cleaning and watching standard cup struggle 
2024-10-31|Productive at work, sending first version of countings analysis, team Jon nice run, then curry and anderlecht at home for chill evening 
2024-11-01|Some kcd in the morning after packing my bag, drive to andenne with juju then family lunch, afternoon hike, TTMC board game, dinner and taiwan snack tasting session
2024-11-02|Run to get breakfast with clement, walk in natural reserve, friterie, skyjo, drive back to bxl then walk to mounier for dd birthday 
2024-11-03|Walk to bouleau for bike, stress because key forgotten, ride to place du jeu de balle, chinage, subway back home, call with bootsy after lunch, 15k run, anderlecht game and talk with Fabrice about angry neighbor before reading and laundry 
2024-11-04|Quite boring day at work, not doing a lot, waterstones library, Kam yuan, talk with Fabrice about crazy neighbor, colruyt, cooking mapo toufu, kcd, workout and cleaning 
2024-11-05|Weird delirium in the night, good day at work with fast fulfilled mejdi request, good French speaking lunch, false fire alarm, speed return and hema stop for picture, then rush to subway, crowded train to lln, good apero and dinner with the hagelsteins, return to brussels and short night before election results!!
2024-11-06|Dreadful morning with Trump victory, hard to work, then sport in the evening, koh lanta and kcd 
2024-11-07|Good day at the office working on countings analysis, call with b during lunch, team Jon after work then some kcd while watching sporting, disappointing draw and late night reading 
2024-11-08|Ok work day from home, big meeting on countings, big freeletics workout, walk to supermarket then to Sarah's, Spanish dinner and night walk back home
2024-11-09|Cooking lasagna all morning, then dance lesson with paupau and friends and chill night finishing kcd at home 
2024-11-10|Bakery to buy pie for mamy, tough big run, anderlecht large victory, walk to station, chat with mamy then dinner at home with the fam and train back home 
2024-11-11|Walk to lunch at papa's, return home, starting new game, reading, maxxxine then workout and la tribune 
2024-11-12|Good day at work with mejdi analysis, nice lunch with Caroline, good coding, fast return, quick run, then beers and fries with max servais and Brice 
2024-11-13|Big day in the zone to produce the segment master table, small call with bootsy, walk to supermarket for grapes, koh lanta, workout and reading 
2024-11-14|Working on tellingen, lunch discussing sporting, meeting with Matthias, team Jon, then diables rouges and 7dtd
2024-11-15|Nice chill day working from home, big weekly groceries, started Dahmer, workout and reading before sleep 
2024-11-16|City center trip to waterstones and kam yuan, cooking chicken, disappointing run to troc.com and brico then long call with boots, watching Dahmer, playing 7dtd and reading 
2024-11-17|Run after good night sleep, chill at home, reading playing and watching, then drink with friends, very bad gladiator 2 and rocky rainy return with villos 
2024-11-18|Good day at the office, chill lunch with Caroline talking about this lifelog project, good meeting on the campaign dashboard, cooking nice pasta after return home, further exploration of 7 days to die, workout, cleanup and reading before bed 
2024-11-19|Bad ride in the rain, huuuge stress with the storage account key bug, lunch with Tracy, chill afternoon work, ride back home, quick stop at bpost, good dinner, finishing Dahmer, some 7dtd, great strong run, then some reading and bed 
2024-11-20|Working from home on tellingen analysis, then train to lln for drink with guillian, return in the snow and light dinner before sleep 
2024-11-21|Stress with sending out the PAO analysis, lunch in rue de france, GIS drama with bootsy, no team Jon because track closed so run alone, 7dtd, then koh lanta 
2024-11-22|Newt TV delivery, ok work from home, then train with Anton, drive to tamines with raph and mart then big mousse party 
2024-11-23|Hangover after big party, cooking shakshouka, reset ps4, trip to brico, Troc, return home and ps5 + standard + new ishiguro 
2024-11-24|Good long run in the morning, then drive to Lasne with juju, mont d'or lunch with the fam, return home with maman and juju, good sporting victory, night walk and reading 
2024-11-25|Working at the office, request from Matthias, nice chat with Caroline late meeting ending, bit of ps5 when back then workout and reading  
2024-11-26|All day investigating data quality issues with email campaign data, presenting countings goal to team, colruyt after work and night run 
2024-11-27|Slow day working from home, watching koh lanta orientation, cooking soup, workout and long walk to cinema for amazing The substance seance with Juju 
2024-11-28|Early rise to have a computer at work, working on new request from Matthias in the morning, leaving early then subway to rsca, good game with Eric and return home for chill evening 
2024-11-29|Boring day working from home, lunch run and call with b, mitraillette and beer at home in front of average horror movie then starting new book 
2024-11-30|Not the best of days, issue with fusible right from the start so no electricity in 2/3 of the apartment, long but difficult call with bootsy, then lots and lots of 7 days to die, small workout and choc wallon game 
2024-12-01|Good morning run, cleaning up and tidying the whole apartment, electrician saving the day, selling the TV, disappointing anderlecht, walk to etterbeek for dinner with maman and juju then walk back home and more tidying up 
2024-12-02|Solo at the office, working on campaign data and reorganizing code, getting eurostar ticket after rue de france lunch, stop at brico on way back home but no purchase, bodyweight workout and reading 
2024-12-03|Ok day at work, chatting with Caroline during lunch, stayed a bit later for drink with Max servais and antoine at bbp, stopped in fnac on the way, then issue with bike on way back, ps5 and reading when back
2024-12-04|Not a lot of work at home, so laundry, workout and reading, colruyt after work, cooking curry then lots of 7 days to die and standard game 
2024-12-05|Rainy and cold ride to work, day full of long meetings, e61 exit, ditching team Jon for recovery, mapo toufu, anderlecht and night reading 
2024-12-06|Not the best day, not much to do at work, then test run, quick shopping trip for beer, creep 2 re-watch and cold cold night 
2024-12-07|Sick night shivering, then better in the morning, reading, bike to ixelles for oysters and wine with the crew, ride back in the rain, stop at brico, shivering starts again, watching games, cooking soup and finally 7dtd and reading before sleep, hopefully better than yesterday 
2024-12-08|Another sick day spent at home, watching lots of jpl, playing 7dtd, reading trump and night walk before sleep 
2024-12-09|Sick leave, sad day at home, getting candies from Carrefour, gaming, reading, rewatching it follows and sad night walk 
2024-12-10|Last sick day, read la classe de neige in one sitting, 7dtd, nice movie the last duel, walk after dinner and bruges cl game 
2024-12-11|Back to work (from home), solid afternoon of work on Matthias' request, then small groceries run, flipping burgers, 7dtd, big workout and tidying up apartment before sleep 
2024-12-12|Return to the office, nice Christmas lunch, good coding for countings analysis, return home and annoying stop at hema, then anderlecht game and MC sleeping over at the apartment 
2024-12-13|Breakfast with Mc, then quiet day of work at home, first run after sickness, long call with bootsy, green mango delivery, 7dtd and night reading 
2024-12-14|Good long sleep, shopping for Christmas gift, horde night in 7dtd, then walk to station, train to lln, family dinner with the hagelsteins and getting Christmas tree ready, then train back home and walk from Schuman 
2024-12-15|Long run near north station, watching games, playing 7dtd, reading a d oddity in evening
2024-12-16|Good day at the office, nice lunch with Caroline, then ride back in the rain, reading stop at home, then ride back to flagey for dinner and drinks with kotechine flatmates 
2024-12-17|Early rise for medical appointment in delta, good day at the office with progress on multiple projects, ride back home with small détour to give yoyoka to Sarah, quick run and then dinner with maman and juju then walk home from montgom and reading 
2024-12-18|Working from home, colruyt and pharmacy afterwards, then cooking tartiflette, workout and reading. Normal day!
2024-12-19|Dreadful bike ride in the rain, chill day at the office, then some gaming before team Jon, more gaming afterwards and finishing ishiguro 
2024-12-20|No work at all, prepping the rallye appart, then walk to get medicine + mitra, call with bootsy, and more prep for rallye appart before bed 
2024-12-21|Bad night of sleep stressing about the rallye, good run, cleaning the apartment, then stress because of Mc and mart, delayed departure, then rallye all night long, small argument with Mc because she imposed herself to sleep here, cleaning up until late and finally sleep 
2024-12-22|Getting MC out of here, giving stuff back to Martin, then long rallye debrief call with boots, sporting defeat, family Christmas at Marie France, soup making gaming and new book start 
2024-12-23|Ride in deserted brussels to work, almost nothing to do, lunch in rue de france, stop at fnac for mamy's gift on the way back, cooking quiche, good gaming session, long workout then reading 
2024-12-24|No work again, so gaming, calls with distressed boots, run during lunch, lots of gaming, nice horror movie, walk to papa, nice Christmas eve dinner then chill reading at home 
2024-12-25|Christmas day at home, cooking, chilling with hannib, the witch, then Christmas dinner with family + mullers 
2024-12-26|Doing the dishes from chirstmas dinner with juju, then attempting to help mamy with her audio setup, car wash, drive back to brussels, lots of gaming, run, football games and reading 
2024-12-27|Waterstones and Kam yuan, long search for ingredients, eating lunch then colruyt, ps5, workout, cooking nice noodles then disappointing last sporting game and reading in bed until late
2024-12-28|Finishing ishiguro, beautiful run in the forest, squid game, ps5, starting new book, long walk to city centre for nosferatu with juju then subway back home
2024-12-29|Squid game + bootsy call in the morning, walk to papa, Christmas lunch with the family, walk and villo back home, workout, cooking more squid game and reading in bed 
2024-12-30|Returning Amazon parcel, finishing squid game, shopping ride to décathlon and action, workout, reading, cooking and starting fallout TV show 
2024-12-31|Walk to delhaize to buy new year dinner ingredients, good run in afternoon, reading, gaming, nice dinner then fallout with beers to close the year 
